School_No,School_Name,School_Type,Suburb,State,Postcode,Phone_No,LGA_ID,LGA_Name,Latitude,Longtitude,Education_Sector,Entity_Type,Address
454,Burwood East Primary School,Primary,Burwood East,VIC,3151,03 9802 8618,698,Whitehorse (C),145.152209,-37.859779,Government,1,Cnr Blackburn And Highbury Rds P O Box 374
467,New Gisborne Primary School,Primary,New Gisborne,VIC,3438,03 5428 2232,413,Macedon Ranges (S),144.596579,-37.46288785,Government,1,239 Station Road
482,Beeac Primary School,Primary,Beeac,VIC,3251,03 5234 6463,175,Colac-Otway (S),143.644279,-38.193973,Government,1,35 Lang Street Lang Street
483,Essendon Primary School,Primary,Essendon,VIC,3040,03 9370 7816,506,Moonee Valley (C),144.921042,-37.753095,Government,1,38 Raleigh Street
484,Coburg Primary School,Primary,Coburg,VIC,3058,03 9354 9332,525,Moreland (C),144.968026,-37.741184,Government,1,92 Bell Street
486,Penshurst Primary School,Primary,Penshurst,VIC,3289,03 5576 5433,626,Southern Grampians (S),142.291326,-37.879184,Government,1,87 Ritchie Street
487,Myrniong Primary School,Primary,Myrniong,VIC,3341,03 5368 7232,515,Moorabool (S),144.3463198,-37.61971733,Government,1,Muddy Lane
488,Mernda Primary School,Primary,Mernda,VIC,3754,03 9717 7900,707,Whittlesea (C),145.0922429,-37.59459504,Government,1,25 Everton Drive P O Box 222
489,Portland Primary School,Primary,Portland,VIC,3305,03 5523 1911,241,Glenelg (S),141.599408,-38.347295,Government,1,45 Palmer Street P O Box 494
502,Stawell Primary School,Primary,Stawell,VIC,3380,03 5358 1255,581,Northern Grampians (S),142.773775,-37.056128,Government,1,14-28 Barnes Street P O Box 502
522,Rutherglen Primary School,Primary,Rutherglen,VIC,3685,02 6032 9428,335,Indigo (S),146.460614,-36.056209,Government,1,44 Murray Street P O Box 75
528,Riddells Creek Primary School,Primary,Riddells Creek,VIC,3431,03 5428 7277,413,Macedon Ranges (S),144.6797752,-37.46122119,Government,1,69-77 Main Road P O Box 255
531,Rokewood Primary School,Primary,Rokewood,VIC,3330,03 5346 1394,249,Golden Plains (S),143.7228146,-37.90365609,Government,1,38 Aitchison Street 38 AITCHISON Street
541,Geelong East Primary School,Primary,Geelong East,VIC,3219,03 5248 4885,275,Greater Geelong (C),144.382972,-38.175556,Government,1,184 Boundary Road
545,Sale Primary School,Primary,Sale,VIC,3850,03 5144 5545,681,Wellington (S),147.073643,-38.108303,Government,1,Macalister Street P O Box 59
582,Skipton Primary School,Primary,Skipton,VIC,3361,03 5340 2002,183,Corangamite (S),143.368161,-37.686858,Government,1,7 Montgomery Street Box 61
